ID,Start,End,Age,Gender,Year,Familiarity,PrefStyle,VisualHrs,AudioHrs,PracticalHrs,WrittenHrs,SupportRating,BestMethod,DigitalFreq,MethodEffectiveness,AssessmentCat,ResourceRating,ElapsedMins,YearNum,PrefStyleShort,AssessmentScore,TotalStudyHrs,DominantMode,ModeMatchesPreference
1,2025-02-28 17:50:05,2025-02-28 17:50:51,22,Man,Third year,8,Kinesthetic ( Hands-on activities),23,23,23,23,5,Online lectures,6,6,Above 70,6,0.7666666666666667,3,Kinesthetic,85,92,Visual,False
2,2025-03-05 11:05:32,2025-03-05 11:07:04,19,Man,First year,10,"Visual (Images, charts)",5,5,6,8,9,Face to face lectures,10,10,Above 70,10,1.5333333333333334,1,Visual,85,24,Written,False
3,2025-03-05 11:05:51,2025-03-05 11:07:27,18,Woman,First year,5,Reading/ Writing ( Text-based learning),0,1,0,5,5,Practical workshops,7,6,Above 70,5,1.6,1,Reading,85,6,Written,False
4,2025-03-05 11:05:20,2025-03-05 11:08:13,23,Woman,First year,5,"Auditory ( Listening, discussions)",2,1,2,2,6,Online lectures,9,6,Above 70,6,2.8833333333333333,1,Auditory,85,7,Visual,False
5,2025-03-05 11:06:48,2025-03-05 11:08:32,19,Woman,First year,7,Reading/ Writing ( Text-based learning),1,10,1,5,6,Face to face lectures,8,6,60 to 70,6,1.7333333333333334,1,Reading,65,17,Auditory,False
6,2025-03-05 11:06:40,2025-03-05 11:08:54,19,Woman,First year,7,Mix of styles,1,0,2,1,8,Face to face lectures,3,7,Above 70,7,2.2333333333333334,1,Mixed,85,4,Practical,False
7,2025-03-05 11:05:36,2025-03-05 11:10:04,19,Man,First year,7,"Visual (Images, charts)",25,5,2,2,8,Face to face lectures,7,6,Above 70,5,4.466666666666667,1,Visual,85,34,Visual,True
8,2025-03-05 11:08:19,2025-03-05 11:10:53,20,Man,First year,6,Mix of styles,15,15,20,10,8,Practical workshops,10,8,41 to 60,8,2.566666666666667,1,Mixed,50,60,Practical,False
9,2025-03-05 12:09:07,2025-03-05 12:27:28,20,Man,First year,7,"Visual (Images, charts)",5,6,4,2,7,Online lectures,10,10,60 to 70,8,18.35,1,Visual,65,17,Auditory,False
10,2025-03-05 12:31:13,2025-03-05 12:33:01,20,Man,First year,7,"Visual (Images, charts)",6,2,3,1,7,Group work,7,6,41 to 60,8,1.8,1,Visual,50,12,Visual,True
11,2025-03-05 12:55:04,2025-03-05 12:59:58,24,Woman,First year,9,Kinesthetic ( Hands-on activities),2,15,5,30,7,Library resources,7,7,Above 70,4,4.9,1,Kinesthetic,85,52,Written,False
12,2025-03-05 12:55:13,2025-03-05 15:12:17,18,Woman,First year,2,Kinesthetic ( Hands-on activities),20,20,30,25,1,Practical workshops,5,6,Above 70,4,137.06666666666666,1,Kinesthetic,85,95,Practical,False
13,2025-03-05 16:12:34,2025-03-05 16:14:07,18,Woman,First year,5,Mix of styles,2,2,3,3,5,Face to face lectures,5,5,Above 70,5,1.55,1,Mixed,85,10,Practical,False
14,2025-03-06 10:55:44,2025-03-06 10:56:41,18,Man,First year,10,"Visual (Images, charts)",8,8,9,0,10,Online lectures,8,7,Above 70,10,0.95,1,Visual,85,25,Practical,False
15,2025-03-06 10:55:47,2025-03-06 10:56:56,20,Man,First year,9,"Visual (Images, charts)",2,1,3,5,8,Face to face lectures,7,8,60 to 70,8,1.15,1,Visual,65,11,Written,False
16,2025-03-06 10:52:20,2025-03-06 11:00:59,19,Woman,First year,7,"Auditory ( Listening, discussions)",20,10,2,16,7,Face to face lectures,6,4,Above 70,7,8.65,1,Auditory,85,48,Visual,False
17,2025-03-06 10:58:42,2025-03-06 11:01:02,20,Woman,First year,4,Reading/ Writing ( Text-based learning),5,10,5,5,4,Group work,4,4,41 to 60,4,2.3333333333333335,1,Reading,50,25,Auditory,False
18,2025-03-06 10:59:58,2025-03-06 11:04:36,18,Woman,First year,7,Mix of styles,2,4,4,0,8,Practical workshops,8,8,Above 70,7,4.633333333333334,1,Mixed,85,10,Auditory,False
19,2025-03-06 11:04:40,2025-03-06 11:05:14,20,Non-binary,First year,5,"Visual (Images, charts)",0,0,0,0,8,One-on-one tutoring,9,6,41 to 60,5,0.5666666666666667,1,Visual,50,0,Visual,True
20,2025-03-06 11:05:23,2025-03-06 11:06:07,22,Man,First year,6,"Auditory ( Listening, discussions)",5,30,10,5,9,Face to face lectures,9,7,Above 70,8,0.7333333333333333,1,Auditory,85,50,Auditory,True
21,2025-03-06 11:06:41,2025-03-06 11:08:46,24,Man,First year,5,Reading/ Writing ( Text-based learning),0,0,0,1,6,Practical workshops,4,6,less than 40,5,2.0833333333333335,1,Reading,20,1,Written,False
22,2025-03-06 11:12:46,2025-03-06 11:14:28,30,Man,First year,5,"Visual (Images, charts)",20,10,20,10,5,Face to face lectures,5,5,Above 70,5,1.7,1,Visual,85,60,Visual,True
23,2025-03-06 12:40:41,2025-03-06 12:43:18,19,Man,First year,7,Mix of styles,3,1,3,4,6,Face to face lectures,7,9,60 to 70,8,2.6166666666666667,1,Mixed,65,11,Written,False
24,2025-03-06 12:44:49,2025-03-06 12:45:54,19,Woman,First year,6,Reading/ Writing ( Text-based learning),3,2,2,5,5,One-on-one tutoring,5,5,60 to 70,5,1.0833333333333333,1,Reading,65,12,Written,False
